날짜,캠페인,광고그룹,광고명,비용,노출수,클릭수,구매수,매출
2024-01-15,여름 세일,관심사 타겟팅,크리에이티브 A,150500,12500,325,8,480000
2024-01-15,여름 세일,관심사 타겟팅,크리에이티브 B,125750,9800,280,6,420000
2024-01-15,여름 세일,유사 오디언스,크리에이티브 A,200250,15600,410,12,720000
2024-01-15,여름 세일,유사 오디언스,크리에이티브 C,180000,14200,380,10,650000
2024-01-16,신학기 상품,연령 18-24,학습용품 광고,90500,8900,245,5,300000
2024-01-16,신학기 상품,연령 18-24,기숙사 필수품,110250,10200,290,7,420000
2024-01-16,신학기 상품,연령 25-34,직장인 룩,130750,11500,320,9,540000
2024-01-16,홀리데이 컬렉션,여성 25-40,겨울 패션,220000,18900,485,15,900000
2024-01-16,홀리데이 컬렉션,여성 25-40,홀리데이 선물,195500,16800,425,13,780000
2024-01-16,홀리데이 컬렉션,남성 30-45,남성 선물 가이드,165250,14200,360,11,660000
2024-01-17,여름 세일,관심사 타겟팅,크리에이티브 A,145000,12000,310,7,420000
2024-01-17,여름 세일,관심사 타겟팅,크리에이티브 B,120500,9500,270,5,350000
2024-01-17,여름 세일,유사 오디언스,크리에이티브 A,185750,14800,395,11,660000
2024-01-17,신학기 상품,연령 18-24,학습용품 광고,95250,9200,255,6,360000
2024-01-17,신학기 상품,연령 25-34,직장인 룩,125000,11000,305,8,480000
2024-01-17,홀리데이 컬렉션,여성 25-40,겨울 패션,210500,18200,465,14,840000
2024-01-17,홀리데이 컬렉션,남성 30-45,남성 선물 가이드,170000,14600,375,12,720000
